"id","ts","target_ts","resource","input_value","predicted_value","actual_value","horizon_seconds","model_version"
10184,"2026-03-07 08:00:36.763733+00","2026-03-07 08:01:36.763733+00","ram","30.07421875","48.28083801269531","30.07421875",60,"v20260306-_tuned_20260306-181039-0246"
10190,"2026-03-07 08:01:06.77282+00","2026-03-07 08:02:06.77282+00","ram","30.07421875","48.27784729003906","30.07421875",60,"v20260306-_tuned_20260306-181039-0246"
10191,"2026-03-07 08:01:06.786752+00","2026-03-07 08:02:06.786752+00","rps","0.1000020000400008","514.725341796875","0.10000200004000082",60,"v20260306-_tuned_20260306-181039-0246"
10195,"2026-03-07 08:01:36.755871+00","2026-03-07 08:02:36.755871+00","cpu","0.0001624872578838827","0.0485113225877285","9.304067354239475e-05",60,"v20260306-_tuned_20260306-181039-0246"
10196,"2026-03-07 08:01:36.76942+00","2026-03-07 08:02:36.76942+00","ram","30.07421875","48.27593231201172","30.07421875",60,"v20260306-_tuned_20260306-181039-0246"
10197,"2026-03-07 08:01:36.782522+00","2026-03-07 08:02:36.782522+00","rps","0.0999980000399992","514.6809692382812","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9583,"2026-03-07 07:10:36.743324+00","2026-03-07 07:11:36.743324+00","cpu","0.00011687500000334693","0.048352476209402084","0.00010508164548200506",60,"v20260306-_tuned_20260306-181039-0246"
9594,"2026-03-07 07:11:21.802258+00","2026-03-07 07:12:21.802258+00","rps","0.1","514.2431030273438","0.1000020000400008",60,"v20260306-_tuned_20260306-181039-0246"
9598,"2026-03-07 07:11:51.754126+00","2026-03-07 07:12:51.754126+00","cpu","9.658018043482776e-05","0.04829100891947746","0.0001102339181273558",60,"v20260306-_tuned_20260306-181039-0246"
9599,"2026-03-07 07:11:51.767875+00","2026-03-07 07:12:51.767875+00","ram","29.953125","48.25794219970703","29.953125",60,"v20260306-_tuned_20260306-181039-0246"
9600,"2026-03-07 07:11:51.780598+00","2026-03-07 07:12:51.780598+00","rps","0.1","514.3211059570312","0.1",60,"v20260306-_tuned_20260306-181039-0246"
9604,"2026-03-07 07:12:21.759966+00","2026-03-07 07:13:21.759966+00","cpu","0.00013803412719922225","0.04830188676714897","8.778983645043872e-05",60,"v20260306-_tuned_20260306-181039-0246"
9605,"2026-03-07 07:12:21.774645+00","2026-03-07 07:13:21.774645+00","ram","29.953125","48.25705337524414","29.953125",60,"v20260306-_tuned_20260306-181039-0246"
9606,"2026-03-07 07:12:21.794283+00","2026-03-07 07:13:21.794283+00","rps","0.1000020000400008","514.4005126953125","0.0999980000399992",60,"v20260306-_tuned_20260306-181039-0246"
