"id","ts","target_ts","input_cpu","input_ram","input_rps","predicted_cpu","actual_cpu","horizon_seconds","model_version"
1574,"2026-03-27 12:39:30.328975+00","2026-03-27 12:40:30.328975+00",0.06024842352251394,49.90625,1.08,0.045742153096925295,0.002399283235694024,60,"v20260326-204532-4583"
1575,"2026-03-27 12:39:35.325275+00","2026-03-27 12:40:35.325275+00",0.06024842352251394,49.90625,0.96,0.04558720133218835,0.002399283235694024,60,"v20260326-204532-4583"
1576,"2026-03-27 12:39:45.366731+00","2026-03-27 12:40:45.366731+00",0.006189986376029398,49.3984375,0.56,0.0056824321067167494,0.002399283235694024,60,"v20260326-204532-4583"
1577,"2026-03-27 12:39:50.319719+00","2026-03-27 12:40:50.319719+00",0.006189986376029398,49.3984375,0.32,0.0041855151340416796,0.0024553928095884963,60,"v20260326-204532-4583"
1578,"2026-03-27 12:40:05.401451+00","2026-03-27 12:41:05.401451+00",0.002435922479832817,49.3984375,0.31998720051197954,0.0030768317564197557,0.0024979875594495684,60,"v20260326-204532-4583"
1579,"2026-03-27 12:40:15.365692+00","2026-03-27 12:41:15.365692+00",0.0026061532815307062,49.40234375,0.32,0.003426983909182806,0.0024979875594495684,60,"v20260326-204532-4583"
1580,"2026-03-27 12:40:20.328905+00","2026-03-27 12:41:20.328905+00",0.002606153281530706,49.40234375,0.28,0.0032778356320815783,0.0024353509370495952,60,"v20260326-204532-4583"
1581,"2026-03-27 12:40:25.318784+00","2026-03-27 12:41:25.318784+00",0.002606153281530706,49.40234375,0.32,0.004087037594128169,0.0024353509370495952,60,"v20260326-204532-4583"
1582,"2026-03-27 12:40:35.383019+00","2026-03-27 12:41:35.383019+00",0.002399283235694024,49.40234375,0.32,0.004068881999875828,0.08653690531109866,60,"v20260326-204532-4583"
1583,"2026-03-27 12:40:40.330767+00","2026-03-27 12:41:40.330767+00",0.002399283235694024,49.40234375,0.2800112004480179,0.0035745716628344964,0.1260460349735615,60,"v20260326-204532-4583"
1584,"2026-03-27 12:40:55.418504+00","2026-03-27 12:41:55.418504+00",0.0024553928095884963,49.3984375,0.32,0.003898508266191952,0.6395420271142843,60,"v20260326-204532-4583"
1585,"2026-03-27 12:41:05.339002+00","2026-03-27 12:42:05.339002+00",0.0024979875594495684,49.3984375,0.32,0.003398749948713499,1.3144762501741258,60,"v20260326-204532-4583"
1586,"2026-03-27 12:41:10.338116+00","2026-03-27 12:42:10.338116+00",0.0024979875594495684,49.3984375,0.28,0.002459718084679871,1.3144762501741258,60,"v20260326-204532-4583"
