,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
8333,8217,2026-03-07 05:16:36.782448+00:00,2026-03-07 05:17:36.782448+00,rps,35.2,547.383544921875,34.660000000000004,60,v20260306-_tuned_20260306-181039-0246
8275,8218,2026-03-07 05:16:51.752613+00:00,2026-03-07 05:17:51.752613+00,cpu,0.0075755985638663,0.0657953023910522,0.007469565217395,60,v20260306-_tuned_20260306-181039-0246
8276,8219,2026-03-07 05:16:51.765688+00:00,2026-03-07 05:17:51.765688+00,ram,39.921875,49.819454193115234,40.296875,60,v20260306-_tuned_20260306-181039-0246
8277,8220,2026-03-07 05:16:51.777727+00:00,2026-03-07 05:17:51.777727+00,rps,35.09929801403972,546.293701171875,34.52,60,v20260306-_tuned_20260306-181039-0246
8334,8221,2026-03-07 05:17:06.758195+00:00,2026-03-07 05:18:06.758195+00,cpu,0.0076307970334061,0.0662880390882492,0.0074834795823342,60,v20260306-_tuned_20260306-181039-0246
8335,8222,2026-03-07 05:17:06.769559+00:00,2026-03-07 05:18:06.769559+00,ram,40.296875,49.85851287841797,41.04296875,60,v20260306-_tuned_20260306-181039-0246
8336,8223,2026-03-07 05:17:06.784204+00:00,2026-03-07 05:18:06.784204+00,rps,35.400000000000006,547.2402954101562,33.96,60,v20260306-_tuned_20260306-181039-0246
8278,8224,2026-03-07 05:17:21.752378+00:00,2026-03-07 05:18:21.752378+00,cpu,0.0076134005536589,0.0655087456107139,0.0074276444633157,60,v20260306-_tuned_20260306-181039-0246
8279,8225,2026-03-07 05:17:21.766517+00:00,2026-03-07 05:18:21.766517+00,ram,39.55078125,49.83012008666992,40.234375,60,v20260306-_tuned_20260306-181039-0246
8280,8226,2026-03-07 05:17:21.778954+00:00,2026-03-07 05:18:21.778954+00,rps,34.399312013759726,544.9224853515625,34.260000000000005,60,v20260306-_tuned_20260306-181039-0246
8337,8227,2026-03-07 05:17:36.753407+00:00,2026-03-07 05:18:36.753407+00,cpu,0.0076541562722823,0.0662467554211616,0.0076604680674575,60,v20260306-_tuned_20260306-181039-0246
8338,8228,2026-03-07 05:17:36.767950+00:00,2026-03-07 05:18:36.76795+00,ram,40.2890625,49.87138748168945,39.30859375,60,v20260306-_tuned_20260306-181039-0246
8339,8229,2026-03-07 05:17:36.781417+00:00,2026-03-07 05:18:36.781417+00,rps,34.660000000000004,546.5342407226562,35.16,60,v20260306-_tuned_20260306-181039-0246
8281,8230,2026-03-07 05:17:51.753039+00:00,2026-03-07 05:18:51.753039+00,cpu,0.007469565217395,0.0663556233048439,0.0076508238148264,60,v20260306-_tuned_20260306-181039-0246
8282,8231,2026-03-07 05:17:51.763310+00:00,2026-03-07 05:18:51.76331+00,ram,40.296875,49.88948822021485,39.8359375,60,v20260306-_tuned_20260306-181039-0246
8283,8232,2026-03-07 05:17:51.773714+00:00,2026-03-07 05:18:51.773714+00,rps,34.52,546.6629028320312,35.78,60,v20260306-_tuned_20260306-181039-0246
8340,8233,2026-03-07 05:18:06.761980+00:00,2026-03-07 05:19:06.76198+00,cpu,0.0074834795823342,0.0672870427370071,0.0075200041330986,60,v20260306-_tuned_20260306-181039-0246
8341,8234,2026-03-07 05:18:06.776387+00:00,2026-03-07 05:19:06.776387+00,ram,41.04296875,49.95046615600586,40.0546875,60,v20260306-_tuned_20260306-181039-0246
8342,8235,2026-03-07 05:18:06.795913+00:00,2026-03-07 05:19:06.795913+00,rps,33.96,548.7474365234375,34.91930161396772,60,v20260306-_tuned_20260306-181039-0246
8284,8236,2026-03-07 05:18:21.738725+00:00,2026-03-07 05:19:21.738725+00,cpu,0.0074276444633157,0.0664928928017616,0.0073142616665074,60,v20260306-_tuned_20260306-181039-0246
8285,8237,2026-03-07 05:18:21.756642+00:00,2026-03-07 05:19:21.756642+00,ram,40.234375,49.93143844604492,40.1015625,60,v20260306-_tuned_20260306-181039-0246
8286,8238,2026-03-07 05:18:21.770863+00:00,2026-03-07 05:19:21.770863+00,rps,34.260000000000005,546.3096923828125,35.120000000000005,60,v20260306-_tuned_20260306-181039-0246
8343,8239,2026-03-07 05:18:36.761496+00:00,2026-03-07 05:19:36.761496+00,cpu,0.0076604680674575,0.0652449801564216,0.0072668358383812,60,v20260306-_tuned_20260306-181039-0246
8344,8240,2026-03-07 05:18:36.773589+00:00,2026-03-07 05:19:36.773589+00,ram,39.30859375,49.87286758422852,39.578125,60,v20260306-_tuned_20260306-181039-0246
8345,8241,2026-03-07 05:18:36.786303+00:00,2026-03-07 05:19:36.786303+00,rps,35.16,542.6358642578125,34.619307613847724,60,v20260306-_tuned_20260306-181039-0246
8287,8242,2026-03-07 05:18:51.743387+00:00,2026-03-07 05:19:51.743387+00,cpu,0.0076508238148264,0.0655677914619445,0.0073589372669548,60,v20260306-_tuned_20260306-181039-0246
8288,8243,2026-03-07 05:18:51.758338+00:00,2026-03-07 05:19:51.758338+00,ram,39.8359375,49.877254486083984,39.5703125,60,v20260306-_tuned_20260306-181039-0246
8289,8244,2026-03-07 05:18:51.771776+00:00,2026-03-07 05:19:51.771776+00,rps,35.78,543.4981689453125,34.36,60,v20260306-_tuned_20260306-181039-0246
8346,8245,2026-03-07 05:19:06.761461+00:00,2026-03-07 05:20:06.761461+00,cpu,0.0075200041330986,0.0657942965626716,0.0061490631995702,60,v20260306-_tuned_20260306-181039-0246
8347,8246,2026-03-07 05:19:06.776031+00:00,2026-03-07 05:20:06.776031+00,ram,40.0546875,49.88128280639648,39.5703125,60,v20260306-_tuned_20260306-181039-0246
8348,8247,2026-03-07 05:19:06.789193+00:00,2026-03-07 05:20:06.789193+00,rps,34.91930161396772,544.218994140625,35.09929801403972,60,v20260306-_tuned_20260306-181039-0246
8290,8248,2026-03-07 05:19:21.756935+00:00,2026-03-07 05:20:21.756935+00,cpu,0.0073142616665074,0.0658948943018913,0.007594448599683,60,v20260306-_tuned_20260306-181039-0246
8291,8249,2026-03-07 05:19:21.772002+00:00,2026-03-07 05:20:21.772002+00,ram,40.1015625,49.88698196411133,39.8828125,60,v20260306-_tuned_20260306-181039-0246
8292,8250,2026-03-07 05:19:21.786486+00:00,2026-03-07 05:20:21.786486+00,rps,35.120000000000005,544.5792236328125,35.43929121417571,60,v20260306-_tuned_20260306-181039-0246
